Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
437;23090142;GENODEF1HLU;Volksbank L�beck Landbank von 1902 eG;L�beck ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
438;24050110;NOLADE21LBG;Sparkasse L�neburg;L�neburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
439;24060300;GENODEF1NBU;Volksbank Nordheide eG;Nordheide ;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
440;24070024;DEUTDEDB240;Deutsche Bank Privat und Gesch�ftskunden;L�neburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
441;24070024;DEUTDEDB240;Deutsche Bank Privat und Gesch�ftskunden;Uelzen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
442;24070075;DEUTDE2H240;Deutsche Bank;L�neburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
443;24070075;DEUTDE2H240;Deutsche Bank;Uelzen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
444;24121000;GENODED1RKI;Ritterschaftl. Kreditinst. Stade;Stade;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
445;24150001;BRLADE21CUX;Stadtsparkasse Cuxhaven;Cuxhaven;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
446;24151005;NOLADE21STS;Sparkasse Stade-Altes Land;Stade;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
447;24151116;NOLADE21STK;Kreissparkasse Stade;Stade;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
